Test,Animal,Experiment,Stage,Trial,P4_tget_latency_to_first_entry,Distance(m),Path_efficiency,Q1_entries,Q1_time,Q1_distance,Q1_mean_visit,Q2_entries,Q2_time,Q2_distance,Q2_mean_visit,Q3_entries,Q3_time,Q3_distance,Q3_mean_visit,Q4_tget_entries,Q4_tget_time,Q4_tget_distance,Q4_tget_latency_to_first_entry,Q4_tget_mean_visit,P4_tget_entries,P4_tget_mean_distance_from,P4_tget_time_getting_closer_to_zone,Q4_Pecent_time,P4_time_getting_closer,Fake_crossings_P1.P2.P3
208,30,5,3,3,"35,7","6,247","0,096",4,"13,8","2,494","3,5",3,"5,0","0,852","1,7",3,"6,5","1,350","2,2",4,"10,4","1,551","5,7","2,6",1,"0,320","16,1",29,45,"0,00"
173,19,3,4,1,"33,9","6,240","0,013",0,"0,0","0,000","0,0",2,"1,8","0,523","0,9",2,"5,9","1,110","3,0",5,"11,5","2,510","0,0","2,3",2,"0,290","15,4",34,45,0
182,29,5,2,1,"60,0","6,229","0,147",3,"5,7","1,060","1,9",4,"23,9","2,345","6,0",4,"27,1","2,744","6,8",2,"3,2","0,079","44,9","1,6",0,"0,512","27,5",5,46,"2,00"
101,34,6,2,4,"47,0","6,220","0,057",4,"18,3","2,798","4,6",3,"6,7","0,871","2,2",1,"1,1","0,133","1,1",3,"20,8","2,418","0,0","6,9",0,"0,286","22,1",44,47,"2,00"
15,14,2,1,3,"60,0","6,129","0,166",1,"0,2","0,040","0,2",1,"1,5","0,202","1,5",1,"29,3","1,200","29,3",4,"11,9","1,852","0,0","3,0",1,"0,425","26,0",20,43,1
213,26,5,4,4,"60,0","6,113","0,135",3,"27,9","2,169","9,3",1,"0,7","0,148","0,7",2,"6,4","0,934","3,2",3,"25,0","2,862","15,0","8,3",0,"0,278","25,2",42,42,"3,00"
114,33,6,3,2,"26,2","6,107","0,050",3,"5,7","1,655","1,9",0,"0,0","0,000","0,0",1,"2,6","0,760","2,6",5,"18,0","3,692","0,0","3,6",0,"0,179","11,7",69,45,"1,00"
250,25,4,1,4,"58,7","6,095","0,094",3,"27,0","1,681","9,0",4,"19,7","2,444","4,9",2,"7,1","1,746","3,5",1,"4,8","0,225","53,8","4,8",0,"0,529","31,1",8,53,"2,00"
210,26,5,4,1,"60,0","5,968","0,047",3,"16,7","1,538","5,6",3,"31,0","2,020","10,3",2,"6,3","1,173","3,1",3,"6,1","1,237","16,4","2,0",0,"0,475","29,5",10,49,"1,00"
73,39,7,4,1,"28,2","5,955","0,121",3,"7,0","1,407","2,3",2,"5,4","1,686","2,7",2,"1,6","0,645","0,8",3,"14,1","2,217","4,6","4,7",0,"0,304","14,1",50,50,"0,00"
43,13,2,2,3,"60,0","5,940","0,120",0,"0,0","0,000","0,0",1,"1,6","0,377","1,6",2,"13,4","1,657","6,7",3,"29,6","2,720","0,0","9,9",0,"0,348","24,1",49,40,0
54,39,7,3,2,"30,4","5,931","0,043",2,"10,0","2,368","5,0",2,"0,7","0,283","0,3",2,"5,6","1,449","2,8",3,"14,2","1,832","0,0","4,7",0,"0,270","13,2",47,43,"1,00"
141,35,6,4,1,"27,9","5,903","0,093",2,"2,2","0,437","1,1",2,"3,0","0,894","1,5",3,"8,9","2,596","3,0",3,"13,7","1,975","3,3","4,6",0,"0,225","12,5",49,45,"2,00"
74,39,7,4,2,"30,5","5,884","0,037",2,"10,0","2,499","5,0",2,"0,7","0,222","0,4",2,"5,5","1,478","2,8",3,"14,2","1,685","0,0","4,7",0,"0,269","13,0",47,43,"1,00"
82,7,1,4,2,"26,1","5,884","0,072",2,"5,8","1,097","2,9",2,"2,1","0,546","1,0",4,"7,9","1,876","2,0",4,"8,4","1,881","3,7","2,1",2,"0,253","14,0",32,54,0
53,39,7,3,1,"28,7","5,813","0,126",3,"6,6","1,229","2,2",2,"5,5","1,721","2,8",2,"1,7","0,627","0,8",3,"14,8","2,236","4,4","4,9",0,"0,293","13,4",52,47,"0,00"
57,17,2,2,1,"60,0","5,803","0,023",0,"0,0","0,000","0,0",1,"3,2","0,767","3,2",3,"20,2","1,851","6,7",2,"34,1","2,192","4,7","17,0",0,"0,341","28,6",57,48,0
